	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
AM-388-A01_contigs_AM-388-A01_NODE_1_1	AM-388-A01_contigs	AM-388-A01_NODE_1	1	2	268	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_1_2	AM-388-A01_contigs	AM-388-A01_NODE_1	2	319	1212	1	D			MER0056671	A22B	MER0056671 - intramembrane aspartyl peptidase ({Methanoculleus marisnigri} JR1) (Picrophilus torridus) [A22.015]#A22B#{peptidase unit: 51-279}~source AAT43331~	False	0.228	68.0	8.58e-11	Signal-peptide peptidase, presenilin aspartyl protease [PF06550.14]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_3	AM-388-A01_contigs	AM-388-A01_NODE_1	3	1225	2124	-1	D										Beta-lactamase superfamily domain [PF12706.10]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_4	AM-388-A01_contigs	AM-388-A01_NODE_1	4	2530	2964	1	C	K09775	uncharacterized protein								Divergent PAP2 family [PF02681.17]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_5	AM-388-A01_contigs	AM-388-A01_NODE_1	5	2987	3892	-1	C	K00826	branched-chain amino acid aminotransferase [EC:2.6.1.42]								Amino-transferase class IV [PF01063.22]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_6	AM-388-A01_contigs	AM-388-A01_NODE_1	6	3967	4845	-1	C	K24180	malate permease and related proteins								Membrane transport protein [PF03547.21]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_7	AM-388-A01_contigs	AM-388-A01_NODE_1	7	4847	6490	-1	C	K01687	dihydroxy-acid dehydratase [EC:4.2.1.9]								Dehydratase family [PF00920.24]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_8	AM-388-A01_contigs	AM-388-A01_NODE_1	8	6603	7994	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_1_9	AM-388-A01_contigs	AM-388-A01_NODE_1	9	8092	8862	1	D										Beta-lactamase superfamily domain [PF12706.10]; Metallo-beta-lactamase superfamily [PF00753.30]; Beta-lactamase superfamily domain [PF13483.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_1_10	AM-388-A01_contigs	AM-388-A01_NODE_1	10	8863	9492	-1	C	K05921	5-oxopent-3-ene-1,2,5-tricarboxylate decarboxylase / 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [EC:4.1.1.68 5.3.3.-]								Fumarylacetoacetate (FAA) hydrolase family [PF01557.21]					0
